Time,Crypto,Symbol,Price
Loading data...,,,,,,2025-10-20T10:18:06.638907
1,Bitcoin,"Bitcoin
BTC",110957.19,0.07,2213669434726.0,2025-10-20T10:22:52.156468+00:00
2,Ethereum,"Ethereum
ETH",4046.56,0.11,488660943994.0,2025-10-20T10:22:52.156468+00:00
3,Tether,"Tether
USDT",1.0,0.0,181941360724.0,2025-10-20T10:22:52.156468+00:00
4,BNB,"BNB
BNB",1126.94,0.44,156849277206.0,2025-10-20T10:22:52.156468+00:00
5,XRP,"XRP
XRP",2.47,0.24,148309553285.0,2025-10-20T10:22:52.156468+00:00
6,Solana,"Solana
SOL",193.39,0.19,105700182381.0,2025-10-20T10:22:52.156468+00:00
7,USDC,"USDC
USDC",1.0,0.02,75943762522.0,2025-10-20T10:22:52.156468+00:00
8,TRON,"TRON
TRX",0.3238,0.07,30657968038.0,2025-10-20T10:22:52.156468+00:00
9,Dogecoin,"Dogecoin
DOGE",0.2013,0.29,30484457446.0,2025-10-20T10:22:52.156468+00:00
10,Cardano,"Cardano
ADA",0.6723,0.3,24096139831.0,2025-10-20T10:22:52.156468+00:00
1,Bitcoin,BTC,111056.05,0.17,2214090157321.0,2025-10-20T10:30:51.907417+00:00
2,Ethereum,ETH,4049.28,0.22,488741896420.0,2025-10-20T10:30:51.907417+00:00
3,Tether,USDT,1.0,0.01,181937943099.0,2025-10-20T10:30:51.907417+00:00
4,BNB,BNB,1127.05,0.75,156863583024.0,2025-10-20T10:30:51.907417+00:00
5,XRP,XRP,2.47,0.53,148435489941.0,2025-10-20T10:30:51.907417+00:00
6,Solana,SOL,193.3,0.17,105648901192.0,2025-10-20T10:30:51.907417+00:00
7,USDC,USDC,0.9998,0.02,75932612674.0,2025-10-20T10:30:51.907417+00:00
8,TRON,TRX,0.3237,0.02,30648517377.0,2025-10-20T10:30:51.907417+00:00
9,Dogecoin,DOGE,0.2016,0.67,30528851993.0,2025-10-20T10:30:51.907417+00:00
10,Cardano,ADA,0.6719,0.32,24084709387.0,2025-10-20T10:30:51.907417+00:00
1,Bitcoin,BTC,111100.96,0.32,2214333341294.0,2025-10-20T10:41:21.877706+00:00
2,Ethereum,ETH,4049.66,0.32,489002989905.0,2025-10-20T10:41:21.877706+00:00
3,Tether,USDT,1.0,0.02,181928473668.0,2025-10-20T10:41:21.877706+00:00
4,BNB,BNB,1127.39,0.6,156910850834.0,2025-10-20T10:41:21.877706+00:00
5,XRP,XRP,2.47,0.69,148610232999.0,2025-10-20T10:41:21.877706+00:00
6,Solana,SOL,193.37,0.14,105686148572.0,2025-10-20T10:41:21.877706+00:00
7,USDC,USDC,0.9999,0.0,75936745602.0,2025-10-20T10:41:21.877706+00:00
8,TRON,TRX,0.3236,0.1,30636828299.0,2025-10-20T10:41:21.877706+00:00
9,Dogecoin,DOGE,0.2022,0.91,30619297717.0,2025-10-20T10:41:21.877706+00:00
10,Cardano,ADA,0.6733,0.48,24133472495.0,2025-10-20T10:41:21.877706+00:00
1,Bitcoin,BTC,110981.54,0.12,2212788956066.0,2025-10-20T10:50:10.143428+00:00
2,Ethereum,ETH,4039.85,0.04,487736856999.0,2025-10-20T10:50:10.143428+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:50:10.143428+00:00
4,BNB,BNB,1120.93,0.01,156012751238.0,2025-10-20T10:50:10.143428+00:00
5,XRP,XRP,2.46,0.17,147963429685.0,2025-10-20T10:50:10.143428+00:00
6,Solana,SOL,192.89,0.05,105424812580.0,2025-10-20T10:50:10.143428+00:00
7,USDC,USDC,0.9999,0.01,75940290761.0,2025-10-20T10:50:10.143428+00:00
8,TRON,TRX,0.3232,0.28,30599490860.0,2025-10-20T10:50:10.143428+00:00
9,Dogecoin,DOGE,0.201,0.29,30440567765.0,2025-10-20T10:50:10.143428+00:00
10,Cardano,ADA,0.6708,0.12,24044096061.0,2025-10-20T10:50:10.143428+00:00
1,Bitcoin,BTC,110981.54,0.12,2212788956066.0,2025-10-20T10:50:28.413325+00:00
2,Ethereum,ETH,4039.85,0.04,487736856999.0,2025-10-20T10:50:28.413325+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:50:28.413325+00:00
4,BNB,BNB,1120.93,0.01,156012751238.0,2025-10-20T10:50:28.413325+00:00
5,XRP,XRP,2.46,0.17,147963429685.0,2025-10-20T10:50:28.413325+00:00
6,Solana,SOL,192.22,0.36,105061117722.0,2025-10-20T10:50:28.413325+00:00
7,USDC,USDC,1.0,0.02,75955478043.0,2025-10-20T10:50:28.413325+00:00
8,TRON,TRX,0.3234,0.25,30616582590.0,2025-10-20T10:50:28.413325+00:00
9,Dogecoin,DOGE,0.2003,0.11,30344734160.0,2025-10-20T10:50:28.413325+00:00
10,Cardano,ADA,0.6696,0.1,24001431463.0,2025-10-20T10:50:28.413325+00:00
1,Bitcoin,BTC,110891.86,0.03,2210816736580.0,2025-10-20T10:50:45.683751+00:00
2,Ethereum,ETH,4027.76,0.4,486145119580.0,2025-10-20T10:50:45.683751+00:00
3,Tether,USDT,1.0,0.03,182019158534.0,2025-10-20T10:50:45.683751+00:00
4,BNB,BNB,1118.4,0.15,155660801780.0,2025-10-20T10:50:45.683751+00:00
5,XRP,XRP,2.46,0.01,147830369146.0,2025-10-20T10:50:45.683751+00:00
6,Solana,SOL,192.24,0.35,105068769039.0,2025-10-20T10:50:45.683751+00:00
7,USDC,USDC,1.0,0.02,75981057762.0,2025-10-20T10:50:45.683751+00:00
8,TRON,TRX,0.3234,0.25,30617965230.0,2025-10-20T10:50:45.683751+00:00
9,Dogecoin,DOGE,0.2004,0.1,30348009160.0,2025-10-20T10:50:45.683751+00:00
10,Cardano,ADA,0.6697,0.1,24003168355.0,2025-10-20T10:50:45.683751+00:00
1,Bitcoin,BTC,110891.86,0.03,2210816736580.0,2025-10-20T10:51:03.772045+00:00
2,Ethereum,ETH,4027.76,0.4,486145119580.0,2025-10-20T10:51:03.772045+00:00
3,Tether,USDT,1.0,0.03,182019158534.0,2025-10-20T10:51:03.772045+00:00
4,BNB,BNB,1118.4,0.15,155660801780.0,2025-10-20T10:51:03.772045+00:00
5,XRP,XRP,2.46,0.01,147830369146.0,2025-10-20T10:51:03.772045+00:00
6,Solana,SOL,192.24,0.35,105068769039.0,2025-10-20T10:51:03.772045+00:00
7,USDC,USDC,1.0,0.02,75981057762.0,2025-10-20T10:51:03.772045+00:00
8,TRON,TRX,0.3234,0.25,30617965230.0,2025-10-20T10:51:03.772045+00:00
9,Dogecoin,DOGE,0.2004,0.1,30348009160.0,2025-10-20T10:51:03.772045+00:00
10,Cardano,ADA,0.6697,0.1,24003168355.0,2025-10-20T10:51:03.772045+00:00
1,Bitcoin,BTC,110836.42,0.0,2212788956066.0,2025-10-20T10:51:33.935650+00:00
2,Ethereum,ETH,4026.91,0.33,487736856999.0,2025-10-20T10:51:33.935650+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:51:33.935650+00:00
4,BNB,BNB,1117.45,0.01,155527804144.0,2025-10-20T10:51:33.935650+00:00
5,XRP,XRP,2.46,0.01,147934597083.0,2025-10-20T10:51:33.935650+00:00
6,Solana,SOL,192.06,0.35,104967920670.0,2025-10-20T10:51:33.935650+00:00
7,USDC,USDC,1.0,0.02,75944828813.0,2025-10-20T10:51:33.935650+00:00
8,TRON,TRX,0.3233,0.25,30608868095.0,2025-10-20T10:51:33.935650+00:00
9,Dogecoin,DOGE,0.2003,0.14,30335002933.0,2025-10-20T10:51:33.935650+00:00
10,Cardano,ADA,0.6695,0.1,23998878000.0,2025-10-20T10:51:33.935650+00:00
1,Bitcoin,BTC,110836.42,0.0,2212788956066.0,2025-10-20T10:52:02.469353+00:00
2,Ethereum,ETH,4026.91,0.33,487736856999.0,2025-10-20T10:52:02.469353+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:52:02.469353+00:00
4,BNB,BNB,1117.35,0.01,155514675518.0,2025-10-20T10:52:02.469353+00:00
5,XRP,XRP,2.46,0.1,147906549810.0,2025-10-20T10:52:02.469353+00:00
6,Solana,SOL,192.06,0.44,104971237572.0,2025-10-20T10:52:02.469353+00:00
7,USDC,USDC,1.0,0.01,75947686242.0,2025-10-20T10:52:02.469353+00:00
8,TRON,TRX,0.3233,0.27,30608433564.0,2025-10-20T10:52:02.469353+00:00
9,Dogecoin,DOGE,0.2003,0.14,30332720672.0,2025-10-20T10:52:02.469353+00:00
10,Cardano,ADA,0.6695,0.1,23996012461.0,2025-10-20T10:52:02.469353+00:00
1,Bitcoin,BTC,110836.42,0.0,2212788956066.0,2025-10-20T10:52:25.788378+00:00
2,Ethereum,ETH,4026.91,0.33,487736856999.0,2025-10-20T10:52:25.788378+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:52:25.788378+00:00
4,BNB,BNB,1120.93,0.01,156012751238.0,2025-10-20T10:52:25.788378+00:00
5,XRP,XRP,2.46,0.01,147903635154.0,2025-10-20T10:52:25.788378+00:00
6,Solana,SOL,192.03,0.51,104954561905.0,2025-10-20T10:52:25.788378+00:00
7,USDC,USDC,1.0,0.02,75944331908.0,2025-10-20T10:52:25.788378+00:00
8,TRON,TRX,0.3233,0.23,30608725841.0,2025-10-20T10:52:25.788378+00:00
9,Dogecoin,DOGE,0.2003,0.22,30334824313.0,2025-10-20T10:52:25.788378+00:00
10,Cardano,ADA,0.6695,0.15,23995874046.0,2025-10-20T10:52:25.788378+00:00
1,Bitcoin,BTC,110836.42,0.0,2212788956066.0,2025-10-20T10:52:51.304310+00:00
2,Ethereum,ETH,4026.91,0.33,487736856999.0,2025-10-20T10:52:51.304310+00:00
3,Tether,USDT,1.0,0.01,181952449300.0,2025-10-20T10:52:51.304310+00:00
4,BNB,BNB,1117.4,0.01,155521389519.0,2025-10-20T10:52:51.304310+00:00
5,XRP,XRP,2.46,0.01,147900586424.0,2025-10-20T10:52:51.304310+00:00
6,Solana,SOL,191.97,0.53,104923647199.0,2025-10-20T10:52:51.304310+00:00
7,USDC,USDC,1.0,0.07,75983001812.0,2025-10-20T10:52:51.304310+00:00
8,TRON,TRX,0.3233,0.23,30609626216.0,2025-10-20T10:52:51.304310+00:00
9,Dogecoin,DOGE,0.2003,0.23,30331058801.0,2025-10-20T10:52:51.304310+00:00
10,Cardano,ADA,0.6695,0.15,23996260153.0,2025-10-20T10:52:51.304310+00:00
1,Bitcoin,BTC,110833.01,0.0,2210266634836.0,2025-10-20T10:53:16.732936+00:00
2,Ethereum,ETH,4022.91,0.45,486041771358.0,2025-10-20T10:53:16.732936+00:00
3,Tether,USDT,1.0,0.0,181925103813.0,2025-10-20T10:53:16.732936+00:00
4,BNB,BNB,1117.37,0.1,155517558705.0,2025-10-20T10:53:16.732936+00:00
5,XRP,XRP,2.46,0.01,147878658604.0,2025-10-20T10:53:16.732936+00:00
6,Solana,SOL,191.93,0.53,104898167738.0,2025-10-20T10:53:16.732936+00:00
7,USDC,USDC,0.9998,0.07,75928558716.0,2025-10-20T10:53:16.732936+00:00
8,TRON,TRX,0.3232,0.23,30603244375.0,2025-10-20T10:53:16.732936+00:00
9,Dogecoin,DOGE,0.2002,0.23,30330080100.0,2025-10-20T10:53:16.732936+00:00
10,Cardano,ADA,0.6694,0.15,23994193120.0,2025-10-20T10:53:16.732936+00:00
